,did,label,uid
0,57ccec9809206506a4dc86b4,beer,
1,579ec1bdc544df0683ae3868,beer,
2,579ec1bdc544df0683ae3868,RTD,
3,579ec1bdc544df0683ae3868,spirits,
4,579ec1bdc544df0683ae3868,sake,
5,579ec1bdc544df0683ae3868,wine,
6,57e8aef354a1e206d3e14922,beer,
7,57e8aef354a1e206d3e14922,RTD,
8,57e8aef354a1e206d3e14922,sake,
9,57e8aef354a1e206d3e14922,wine,
10,58534d2f2a307e491868c2d2,beer,
11,58534d2f2a307e491868c2d2,RTD,
12,58534d2f2a307e491868c2d2,spirits,
13,58534d2f2a307e491868c2d2,sake,
14,58534d2f2a307e491868c2d2,wine,
15,51dac91fa1197a562614eaa5,beer,
16,51dac91fa1197a562614eaa5,RTD,
17,51cb8ce9a8ac2801898e3dcb,beer,
18,51ca24f9f09801149aca33c3,beer,
19,58bf7f8fb674b6075094ba0c,beer,
20,58bf7f8fb674b6075094ba0c,RTD,
21,58bf7f8fb674b6075094ba0c,spirits,
22,58bf7f8fb674b6075094ba0c,sake,
23,58bf7f8fb674b6075094ba0c,wine,
24,5912a3b25936163c2079d7ce,beer,
25,5834561f2a307e06e2d95a84,beer,
26,59252d57ce0c7606460cb34a,beer,
27,59252d57ce0c7606460cb34a,RTD,
28,59252d57ce0c7606460cb34a,spirits,
29,59252d57ce0c7606460cb34a,sake,
30,59252d57ce0c7606460cb34a,wine,
31,5924f78e593616540d36ab9a,beer,
32,59261bcc04e76f06475e6dea,beer,
33,59261bcc04e76f06475e6dea,RTD,
34,5924f82b593616541e7fa5e2,beer,
35,5924f82b593616541e7fa5e2,RTD,
36,5924f82b593616541e7fa5e2,spirits,
37,5924f82b593616541e7fa5e2,sake,
38,592a1e61837440485d101253,beer,
39,5926042504e76f0648c52684,beer,
40,57a3f7b5c2eafc06da00d1da,beer,
41,592ca9a1793480064e50eb88,beer,
42,592c94da837440484fed3f39,beer,
43,592c20a0da21f213df6cd435,beer,
44,592c0fc1feb04e065cf2a335,beer,
45,592bc77dda21f213d1cd5aa5,beer,
46,592b8e713ed3f00645079647,beer,
47,592b4e8f87e53b06555ce5fb,beer,
48,592ae4c881aba20637491a78,beer,
49,592acdb081aba206367f5a23,beer,
50,592a906c8f509c065a5e9a96,beer,
51,592a624f81aba20638923838,beer,
52,592a3c39f40434063e329173,beer,
53,592a3c39f40434063e329173,RTD,
54,592828eb94c5bf0627313228,beer,
55,592a2c238f509c065a5e97ab,beer,
56,592a1d908f509c065a5e9751,beer,
57,592a1d908f509c065a5e9751,RTD,
58,592a1cf481aba206367f551a,beer,
59,592a1cf481aba206367f551a,RTD,
60,592a10d5b116a606460415d4,beer,
61,5929f429da21f213c361d916,beer,
62,59292d9383744048413ff3ec,beer,
63,59291fd85a3747064e0022e5,beer,
64,59291ef8b3c6cb0646882434,beer,
65,59291402da21f213d1cd4b7e,beer,
66,5928fdd7df00be06436cb455,beer,
67,5928e6d4dc6f0606481c9054,beer,
68,5928e6d4dc6f0606481c9054,RTD,
69,5928d328b3c6cb0645ab3507,beer,
70,5927fdde8a14e20632be0bb7,beer,
71,5928bfc6f6d7a106477e34a3,beer,
72,592849a4da21f213df6cc089,beer,
73,59280a36283978062f732670,beer,
